Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2000-0381-TUR,2000,0381,,Natural,Meteorological,Extreme temperature,Heat wave,,,Turkey,TUR,Western Asia,Asia,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak provinces",,Drought,,,,,,46,°C,,,,,2000,6,,2000,7,,11,300,,,300,,,,,1000,1700,58.8406484917497,1,3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3032;3033;3034;3035;3036;3037;3038;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;3051;3052;3053;3054;3055;3056;3057;3058;3059;3060;3061;3062;3063;3064;3065;3066;3067;3068;3069;3070;3071;3072;3073;3074;3075;3076;3077;3078;3079;3080;3081;3082;3083;3084;3085;3086;3087;3088;3089;3090;3091;3092;3093;3094;3095;3096,,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak (Adm1)."
2000-0272-TUR,2000,0272,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Poturge district (Malatya province),,,,,,,,5,Richter,38.164,38.777,,,2000,5,7,2000,5,7,1,,1000,,1000,,,,,,,58.8406484917497,2,,28104,Poturge (Adm2).
2000-0291-TUR,2000,0291,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Cerkes, Orta districts (Cankiri province), Cubuk district (Ankara province)",,,,,,,,6,Richter,40.693,32.992,5:45,,2000,6,6,2000,6,6,2,80,23000,,23080,,,,,,,58.8406484917497,2,,27517;27694;27701,"Cerkes, Cubuk, Orta (Adm2)."
2000-0281-TUR,2000,0281,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Carsamba, Salipazari districts (Samsun province), Tokat province",Heavy rains,,,,,,,17000,Km2,,,,,2000,5,27,2000,5,27,2,,1000,,1000,,,,,40000,67980,58.8406484917497,1;2,3089,28221;28226,"Tokat (Adm1). Carsamba, Salipazari (Adm2)."
2000-0188-TUR,2000,0188,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,"Bursa, Canakkale, Balikesir provinces",,,,,,,,8,Km2,,,,,2000,4,5,2000,4,5,,,,350,350,,,,,,,58.8406484917497,1,3028;3037;3038,,"Balikesir, Bursa, Canakkale (Adm1)."
2000-0552-TUR,2000,0552,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,"Karacahisar, Boncuklu, Vakifli city (Soma district, Manisa province), Canakkale province",,,,,,,,,Km2,,,,,2000,7,,2000,7,,,,,,,,,,,,,58.8406484917497,1;2,3038,28121,Canakkale (Adm1). Soma (Adm2).
2001-0358-TUR,2001,0358,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Osmaniye province,,,,,,,,6,Richter,37.238,36.206,,,2001,6,25,2001,6,25,,130,350,,480,,,,,,,60.5035788853056,1,3079,,Osmaniye (Adm1).
2001-0748-TUR,2001,0748,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum province,,,,,,,,5,Richter,39.832,41.623,,,2001,7,10,2001,7,10,,46,85,,131,,,,,,,60.5035788853056,1,3046,,Erzurum (Adm1).
2001-0188-TUR,2001,0188,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Siverek, Halfeti districts (Sanliurfa province)",Heavy rain,,,,,,,4900,Km2,,,,,2001,3,8,2001,3,8,4,,450,,450,,,,,,,60.5035788853056,2,,28235;28239,"Halfeti, Siverek (Adm2)."
2001-0309-TUR,2001,0309,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Antakya area (Merkez district, Hatay province), Konya province",Heavy rain,,,,,,,1610,Km2,,,,Orontes River,2001,5,7,2001,5,8,3,,1500,,1500,,,,,,,60.5035788853056,1;2,3069,27855,Konya (Adm1). Merkez (Adm2).
2001-0665-TUR,2001,0665,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Konak district (Izmir province), Erdemli, Merkez, Tarsus districts (Icel province), Antalya, Adana provinces",Heavy rains,,,,,,,14880,Km2,,,,,2001,12,2,2001,12,9,5,,570,,570,,,,,25000,41320,60.5035788853056,1;2,3017;3024,27855;27863;27865;27868;27937,"Adana, Antalya (Adm1). Erdemli, Konak, Merkez, Tarsus (Adm2)."
2001-0616-TUR,2001,0616,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,"Camlihemsin, Cayeli, Ardesen districts (Rize province)",,,,,,,,,,,,,,2001,11,10,2001,11,10,9,,600,,600,,,,,,,60.5035788853056,2,,28191;28192;28193,"Ardesen, Camlihemsin, Cayeli (Adm2)."
2001-0689-TUR,2001,0689,,Natural,Meteorological,Extreme temperature,Cold wave,,,Turkey,TUR,Western Asia,Asia,"Uskudar, Bayrampasa distrcits (Istanbul province), Kirklareli, Cannakale provinces",,,,,,,,,°C,,,,,2001,12,17,2001,12,17,29,,,,,,,,,,,60.5035788853056,1;2,3038;3066,27892;27916,"Canakkale, Kirklareli (Adm1). Bayrampasa, Uskudar (Adm2)."
2002-0065-TUR,2002,0065,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Bolvadin district (Afyon province),,,,,,,1982,7,Richter,38.573,31.271,9:11,,2002,2,3,2002,2,3,42,327,222000,30000,252327,,,,,95000,154564,61.4631882611914,2,,27472,Bolvadin (Adm2).
2002-0450-TUR,2002,0450,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Cayeli city (Cayeli district, Rize province), Selamet area (Guneysu district, Rize province), Rize city (Merkez district, Rize province), Karalar area (Merkez district, Yozgat province), Kars, Mus, Corum provinces",Monsoonal rain,,,,,,,15130,Km2,,,,,2002,7,23,2002,7,27,34,,3000,,3000,,,,,,,61.4631882611914,1;2,3040;3061;3075,28193;28196;28201;28361,"Corum, Kars, Mus (Adm1). Cayeli, Guneysu, Merkez (Adm2)."
2002-0791-TUR,2002,0791,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Tokat, Van, Kayseri, Istanbul, Ankara provinces",,,,,,,,,Kph,,,,,2002,12,20,2002,12,20,10,,,,,,,,,,,61.4631882611914,1,3023;3056;3063;3089;3093,,"Ankara, Istanbul, Kayseri, Tokat, Van (Adm1)."
2003-0050-TUR,2003,0050,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Pulumur district (Tunceli province),,,,,,,,6,Richter,39.5,39.878,06:45,,2003,1,27,2003,1,27,1,2,,,2,,,,,,,62.8584595000413,2,,28328,Pulumur (Adm2).
2003-0627-TUR,2003,0627,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Antalya, Doyran areas (Merkez district, Antalya province), Kumluca district (Antalya province)",Heavy rains,Rain,,,,,,1300,Km2,,,,,2003,12,24,2003,12,26,8,,,,,,,,,,,62.8584595000413,2,,27545;27547,"Kumluca, Merkez (Adm2)."
2003-0197-TUR,2003,0197,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bingol, Celtiksuyu, Sancak, Gokdere, Gozeler villages (Merkez district, Bingol province)",,,,,,,424,6,Richter,39.007,40.464,03:27,,2003,5,1,2003,5,1,177,520,245000,45000,290520,,,1000,1591,135000,214768,62.8584595000413,2,,27624,Merkez (Adm2).
2003-0648-TUR,2003,0648,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Buldan district (Denizli province),,,,,,,,5,Richter,38.111,28.887,03:00,,2003,7,26,2003,7,26,,,240,,240,,,,,,,62.8584595000413,2,,27725,Buldan (Adm2).
2003-0783-TUR,2003,0783,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Seferihisar, Konak districts (Izmir province)",,,,,,,,6,Richter,38.221,26.958,,,2003,4,10,2003,4,10,,170,,,170,,,,,,,62.8584595000413,2,,27937;27942,"Konak, Seferihisar (Adm2)."
2004-0132-TUR,2004,0132,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Askale, Ilica, Cat districts (Erzurum province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,39.847,40.874,06:51,,2004,3,28,2004,3,28,,30,32500,,32530,,,,,,,64.5413292817447,2,,27780;27781;27784,"Askale, Cat, Ilica (Adm2)."
2004-0102-TUR,2004,0102,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Ilica, Cat districts (Erzurum province), Silifke, Merkez district (Icel province), Ardahan, Kars, Mus, Agri, Konya, Batman, Bitlis provinces","Heavy rains, melting snow","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Goksu, Pular, Carsamba, Cokelez, Forkun, Kura",2004,3,5,2004,3,9,15,,,50000,50000,,,,,,,64.5413292817447,1;2,3020;3025;3030;3034;3061;3069;3075,27781;27784;27865;27867,"Agri, Ardahan, Batman, Bitlis, Kars, Konya, Mus (Adm1). Cat, Ilica, Merkez, Silifke (Adm2)."
2004-0600-TUR,2004,0600,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,"Istanbul, Ankara, Yozgat, Adana provinces",,Flood,,,,,,,Kph,,,,,2004,11,21,2004,11,22,14,121,600,,721,,,,,,,64.5413292817447,1,3017;3023;3056;3095,,"Adana, Ankara, Istanbul, Yozgat (Adm1)."
2004-0010-TUR,2004,0010,,Natural,Meteorological,Extreme temperature,Cold wave,,,Turkey,TUR,Western Asia,Asia,"Aragpir city (Malatya province), Istanbul, Ankara, Kayseri, Izmir, Bursa, Erzurum provinces",,Snow/ice,,,,,,-22,°C,,,,,2004,1,9,2004,1,10,10,,,,,,,,,,,64.5413292817447,1,3023;3037;3046;3056;3057;3063;3071,,"Ankara, Bursa, Erzurum, Istanbul, Izmir, Kayseri, Malatya (Adm1)."
2004-0274-TUR,2004,0274,,Natural,Meteorological,Storm,Convective storm,Tornado,,Turkey,TUR,Western Asia,Asia,"Sünlü village (Cubuk district, Ankara province)",,,,,,,,,Kph,,,,,2004,6,19,2004,6,19,3,15,900,,915,,,,,,,64.5413292817447,2,,27517,Cubuk (Adm2).
2004-0127-TUR,2004,0127,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Askale, Buyukgecit, Kucukgecit, Karabiyik, Kandilli villages (Askale district, Erzurum province)",,,,,,,,6,Richter,39.93,40.812,21:30,,2004,3,25,2004,3,25,9,30,4000,,4030,,,,,,,64.5413292817447,2,,27780,Askale (Adm2).
2004-0308-TUR,2004,0308,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dogubeyazit district (Agri province),,,,,,,,5,Richter,39.766,43.979,01:30,,2004,7,1,2004,7,1,18,21,335,,356,,,,,,,64.5413292817447,2,,27489,Dogubeyazit (Adm2).
2004-0424-TUR,2004,0424,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Zonguldak city (Merkez district, Zonguldak province), Kagithane, Esenler districts (Istanbul province)",Brief torrential rains,,,,,,,16750,Km2,,,,Nakdong and Hyeongsan rivers,2004,8,16,2004,8,17,2,,100,,100,,,,,,,64.5413292817447,2,,27898;27905;28373,"Esenler, Kagithane, Merkez (Adm2)."
2004-0209-TUR,2004,0209,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,Hatay province,Heavy rains,,,,,,,,Km2,,,,,2004,5,14,2004,5,16,6,,,,,,,,,,,64.5413292817447,1,3052,,Hatay (Adm1).
2004-0026-TUR,2004,0026,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak provinces",,,,,,,,,Kph,,,,,2004,1,22,2004,1,25,8,,,,,,,,,,,64.5413292817447,1,3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3032;3033;3034;3035;3036;3037;3038;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;3051;3052;3053;3054;3055;3056;3057;3058;3059;3060;3061;3062;3063;3064;3065;3066;3067;3068;3069;3070;3071;3072;3073;3074;3075;3076;3077;3078;3079;3080;3081;3082;3083;3084;3085;3086;3087;3088;3089;3090;3091;3092;3093;3094;3095;3096,,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak (Adm1)."
2005-0045-TUR,2005,0045,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,"Artvin, Bartin, Bolu, Giresun, Istanbul, Kastamonu, Kirklareli, Kocaeli, Ordu, Rize, Sakarya, Samsun, Sinop, Trabzon, Zonguldak provinces",Snowstorm,Transport accident,,,,,,,Kph,,,,,2005,1,1,2005,4,1,2,,,,,,,,,,,66.7310579862028,1,3026;3029;3035;3049;3056;3062;3066;3068;3078;3080;3081;3082;3085;3090;3096,,"Artvin, Bartin, Bolu, Giresun, Istanbul, Kastamonu, Kirklareli, Kocaeli, Ordu, Rize, Sakarya, Samsun, Sinop, Trabzon, Zonguldak (Adm1)."
2005-0070-TUR,2005,0070,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Batman city (Merkez district, Batman province), Siirt city (Merkez district, Siirt province), Adana, Van, Hakkari provinces",,,,,,,,6,Richter,37.622,43.703,,,2005,1,25,2005,1,25,2,22,400,,422,,,,,,,66.7310579862028,1;2,3017;3051;3093,27607;28246,"Adana, Hakkari, Van (Adm1). Merkez (Adm2)."
2005-0126-TUR,2005,0126,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova district (Bingol province),,,,,,,,6,Richter,39.354,40.89,03:55,,2005,3,14,2005,3,14,,18,2250,,2268,,,,,,,66.7310579862028,2,,27622,Karliova (Adm2).
2005-0119-TUR,2005,0119,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,"Sugozu village (Koyulhisar district, Sivas province)",,,,,,,,,,,,,,2005,3,17,2005,3,17,15,9,,,9,,,,,,,66.7310579862028,2,,28275,Koyulhisar (Adm2).
2005-0415-TUR,2005,0415,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Caykara area (Caykara district, Trabzon province), Guneyce area (Ikizdere district, Rize province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,1670,Km2,,,,,2005,8,2,2005,8,3,7,,,,,,,,,,,66.7310579862028,2,,28198;28308,"Caykara, Ikizdere (Adm2)."
2005-0713-TUR,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Turkey,TUR,Western Asia,Asia,"Agri, Istanbul, Ankara provinces",,Snow/ice,,,,,,,°C,,,,,2005,12,26,2006,2,6,17,150,,,150,,,,,,,66.7310579862028,1,3020;3023;3056,,"Agri, Ankara, Istanbul (Adm1)."
2005-0329-TUR,2005,0329,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova district (Bingol province),,,,,,,,6,Richter,39.22,41.08,,,2005,6,6,2005,6,6,,54,300,,354,,,,,,,66.7310579862028,2,,27622,Karliova (Adm2).
2005-0340-TUR,2005,0340,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Kartal, Maltepe, Pendik districts (Istanbul province), Bolu, Sakarya provinces",,,,,,,,,Km2,,,,,2005,7,4,2005,7,4,,,3000,,3000,,,,,,,66.7310579862028,1;2,3035;3081,27906;27907;27908,"Bolu, Sakarya (Adm1). Kartal, Maltepe, Pendik (Adm2)."
2006-0619-TUR,2006,0619,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Antalya town (Merkez district, Antalya province), Mersin town (Merkez district, Icel province), Siverek, Ceylanpinar, Suruc districts (Sanliurfa province), Bismil, Cinar districts (Diyarbakir province), Cizre, Silopi, Uludere districts (Sirnak province), Merkez, Hasankeyf districts (Batman province), Beykoz, Sariyer districts (Istanbul province), Yuksekova, Semdinli districts (Hakkari province)",Torrential rains,,,,Yes,,,122300,Km2,37.64,39.65,,,2006,10,27,2006,11,7,47,15,63000,,63015,,,,,317000,460196,68.8837587123464,2,,27547;27605;27607;27737;27739;27845;27846;27865;27894;27909;28234;28239;28240;28259;28263;28264,"Beykoz, Bismil, Ceylanpinar, Cinar, Cizre, Hasankeyf, Merkez, Sariyer, Semdinli, Silopi, Siverek, Suruc, Uludere, Yuksekova (Adm2)."
2006-0334-TUR,2006,0334,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Bitlis, Mus, Kirklareli, Trabzon, Rize provinces",Heavy rain,,,,,,,69640,Km2,39.74,41.1,,,2006,7,1,2006,7,3,12,,,,,,,,,,,68.8837587123464,1,3034;3066;3075;3080;3090,,"Bitlis, Kirklareli, Mus, Rize, Trabzon (Adm1)."
2006-0428-TUR,2006,0428,,Natural,Biological,Epidemic,Viral disease,,Crimean-Congo Haemorrhagic fever,Turkey,TUR,Western Asia,Asia,"Tokat, Sivas, Gümüshane, Amasya, Yozgat, Corum provinces",,,,,No,No,,,Vaccinated,,,,,2006,1,1,2006,8,4,20,,222,,222,,,,,,,68.8837587123464,,,,
2007-0235-TUR,2007,0235,HT-2007-000106,Natural,Meteorological,Extreme temperature,Heat wave,,,Turkey,TUR,Western Asia,Asia,"Burdur, Sinop provinces",,Wildfire,,,,,,43,°C,,,,,2007,6,,2007,6,,3,,,,,,,,,,,70.848792703253,1,3036;3085,,"Burdur, Sinop (Adm1)."
2007-0168-TUR,2007,0168,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Ugurtas, Kacmaz, Karlica Demirkapi, Seyithanbey, Danakiran, Karayseyitali villages (Habur area, Hamur district, Agri province), Ercis area (Ercis district, Van province), Kalkanli area (Hizan district, Bitlis province), Bilek area (Sehitkamil district, Gaziantep province)",Heavy rain,,,,,,,38490,Km2,39.4,43.8,,,2007,5,27,2007,6,1,13,,750,,750,,,,,,,70.848792703253,2,,27340;27491;27631;27819;28340,"Ercis, Fatululic, Hamur, Hizan, Sehitkamil (Adm2)."
2007-0330-TUR,2007,0330,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Aliceyrek, Akkeran, Danisment areas (Horasan district, Erzurum province)",Heavy rain,,,,,,,,Km2,,,,,2007,8,3,2007,8,3,2,,150,36,186,,,,,,,70.848792703253,2,,27783,Horasan (Adm2).
2007-0554-TUR,2007,0554,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Marmaris, Bodrum districts (Mugla province), Tekirdag, Edirne provinces",Heavy rains,,,,,,,,Km2,41.74,26.62,,Tunca,2007,11,16,2007,11,21,1,,2250,,2250,,,,,,,70.848792703253,1;2,3043;3088,28133;28139,"Edirne, Tekirdag (Adm1). Bodrum, Marmaris (Adm2)."
2008-0318-TUR,2008,0318,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,"Karatas (Korkuteli district, Antalya province)","Drought, high winds, heat waves, human factors",,,,,,,,Km2,,,,,2008,8,1,2008,8,5,2,,,300,300,,,,,,,73.5687455355046,2,,27544,Korkuteli (Adm2).
2009-0054-TUR,2009,0054,,Natural,Hydrological,Landslide,Avalanche,,,Turkey,TUR,Western Asia,Asia,"Zigana area (Torul district, Gumushane province)",High temperatures,,,,,,,,,,,,,2009,1,25,2009,1,25,11,,6,,6,,,,,,,73.3071767219387,2,,27842,Torul (Adm2).
2009-0262-TUR,2009,0262,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Savsat city (Savsat district, Artvin province), Sinop town (Merkez district, Sinop province), Bogazcik area (Persembe district, Ordu province), Amasra, Kurucasile, Merkez districts (Bartin province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,26430,Km2,41,40.04,,,2009,7,10,2009,7,16,7,11,100,,111,,,,,,,73.3071767219387,2,,27561;27599;27600;27601;28181;28255,"Amasra, Kurucasile, Merkez, Persembe, Savsat (Adm2)."
