Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1941-0032-TUR,1941,0032,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Van, Ercis",,,,,,,,6,Richter,39.5,43.3,00:53,,1941,9,11,1941,9,11,430,,,,,,,,,,,5.0371812348667,,,,
1941-0034-TUR,1941,0034,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzincan,,,,,,,,6,Richter,39.7,39.4,13:04,,1941,11,12,1941,11,12,15,,,,,,,,,,,5.0371812348667,,,,
1942-0043-TUR,1942,0043,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,6,Richter,39.2,28.2,20:01,,1942,11,15,1942,11,15,16,,,,,,,,,,,5.5956017790036,,,,
1942-0044-TUR,1942,0044,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Kastomonu, Kargi",,,,,,,,,Richter,40.3,34.6,17:01,,1942,11,21,1942,11,21,17,,,,,,,,,,,5.5956017790036,,,,
1943-0051-TUR,1943,0051,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Hendek,,,,,,,,7,Richter,40.8,30.5,18:32,,1943,1,20,1943,1,20,285,,,,,,,,,,,5.9260955704314,,,,
1943-0054-TUR,1943,0054,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Hundek, Adapazari",,,,,,,,6,Richter,40.6,30.5,18:33,,1943,6,20,1943,6,20,285,,,,,,,,,,,5.9260955704314,,,,
1943-0055-TUR,1943,0055,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Anatolia,,,,,,,,,Richter,40,40,,,1943,12,5,1943,12,5,550,,,,,,,,,,,5.9260955704314,,,,
1944-0046-TUR,1944,0046,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Usak,,,,,,,,6,Richter,38.9,29.3,07:16,,1944,6,25,1944,6,25,21,,,,,,,,,,,6.0286626091504,,,,
1945-0017-TUR,1945,0017,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Aelana, Veyhan, Adana",,,,,,,,6,Richter,37.4,35.8,10:59,,1945,3,20,1945,3,20,300,,,,,,,,,,,6.1654186607757,,,,
1945-0019-TUR,1945,0019,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Van, Bolgesi",,,,,,,,,Richter,38.5,43.3,11:56,,1945,7,29,1945,7,29,300,,,,,,,,,,,6.1654186607757,,,,
1946-0028-TUR,1946,0028,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"IIgin, Konya",,,,,,,,6,Richter,38.2,31.8,18:43,,1946,2,21,1946,2,21,12,,,,,,,,,,,6.6782538543708,,,,
1950-0035-TUR,1950,0035,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Richter,40,40,12:31,,1950,2,4,1950,2,4,20,,,,,,,,,,,8.2395521104268,,,,
1952-0039-TUR,1952,0039,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Pasinler (Hasankale), Erzican",,,,,,,,,Richter,39.8,39.5,,,1952,6,3,1952,6,3,94,,,,,,,,,,,9.0942774330851,,,,
1953-0064-TUR,1953,0064,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Edirne,,,,,,,,,Richter,41.4,26.3,08:44,,1953,6,18,1953,6,18,37,,,,,,,,,,,9.1626554588977,,,,
1966-0141-TUR,1966,0141,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Varto, Mus",,,,,,,,6,Richter,39.1,41.6,04:16,,1966,3,7,1966,3,7,10,,,,,,,,,,,11.0909971475822,,,,
1966-0142-TUR,1966,0142,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,5,Richter,38.9,41.3,03:04,,1966,7,12,1966,7,12,12,20,,,20,,,,,,,11.0909971475822,,,,
1967-0136-TUR,1967,0136,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Tunceli,,,,,,,,6,Richter,39.5,40.4,21:53,,1967,7,26,1967,7,26,97,,,,,,,,,,,11.3985269797253,,,,
1970-0134-TUR,1970,0134,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Demirci, Manisa",,,,,,,,6,Richter,39.1,28.7,12:01,,1970,4,23,1970,4,23,,43,750,,793,,,,,,,13.2664799609959,,,,
1979-0300-TUR,1979,0300,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Dursunvey, Anatolia",,,,,,,,5,Richter,39.672,28.66,16:12,,1979,7,18,1979,7,18,,,,1000,1000,,,,,,,24.7988405675032,,,,
